N	T	x	f(x)	
1	10,00	10,50000	-96,98646	
2	9,75	10,83088	-115,72055	
3	9,04	11,16935	-122,87545	
4	8,81	11,54421	-113,70960	
5	8,59	11,34287	-120,97930	
6	7,96	11,67141	-106,27805	
7	6,34	11,32995	-121,25812	
8	5,88	11,17818	-122,87424	
9	4,92	11,36191	-120,52710	
10	4,34	11,00622	-121,13001	
11	4,02	11,09030	-122,44338	
12	3,04	11,16484	-122,87219	
13	2,42	10,97998	-120,54530	
14	2,13	11,35743	-120,63803	
15	1,74	11,11341	-122,65140	
16	1,62	11,28059	-122,11797	
17	1,42	11,25596	-122,42581	
18	1,39	11,11954	-122,69535	
19	1,05	11,00665	-121,13892	
20	0,90	11,34984	-120,81934	
21	0,88	11,20449	-122,81090	
22	0,47	11,12808	-122,74865	
23	0,44	11,22161	-122,72135	
24	0,24	11,19082	-122,85499	
25	0,20	11,11760	-122,68193	
26	0,18	11,19903	-122,83141	
27	0,12	11,15049	-122,84447	
28	0,05	11,18166	-122,87100	
29	0,03	11,19959	-122,82947	
30	0,02	11,16023	-122,86617	
31	0,00	11,16442	-122,87176	
